C1,C2,C3
setup_id,description,explained_description
S0317,"When zscore_corr(20d)(DXY Curncy:PX_LAST, XLF US Equity:PX_LAST, 60d) is very high and zscore_corr(20d)(LLY US Equity:PX_LAST, NVDA US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S4707,"When zscore_corr(20d)(DXY Curncy:PX_LAST, XLF US Equity:PX_LAST, 60d) is very high and zscore_corr(20d)(LLY US Equity:PX_LAST, NVDA US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7171,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7108,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7174,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7175,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7176,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7179,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7181,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7182,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7186,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7187,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7188,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7094,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7093,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7091,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7090,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7191,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7087,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7086,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7220,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7221,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7222,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7223,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7224,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7225,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7226,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7227,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7228,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7229,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7230,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7231,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7232,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7233,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7234,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7235,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7236,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7237,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7238,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7239,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7240,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7241,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7242,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7243,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7244,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7245,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7246,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and zscore_corr(20d)(LLY US Equity:PX_LAST, NVDA US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
