C1,C2,C3
setup_id,description,explained_description
S1739,"When corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low and corr(NFP TCH Index:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bearish outlook.",DEPRECATED
S0082,"When corr_delta(20d-60d)(FARBAST Index:PX_LAST, USGG10YR Index:PX_LAST) drops sharply and beta(INJCJC Index:PX_LAST, XLK US Equity:PX_LAST, 60d) drops sharply and beta(CPI YOY Index:PX_LAST, FFA Comdty:PX_LAST, 60d) surges unexpectedly, it may indicate a bearish outlook.",DEPRECATED
S0622,"When corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr(NFP TCH Index:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1433,"When corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high and corr_delta(20d-60d)(CONSSENT Index:PX_LAST, USSW10 Curncy:PX_LAST) is very high, it may indicate a bullish outlook.",DEPRECATED
S0559,"When corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1005,"When corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply, it may indicate a bullish outlook.",DEPRECATED
S1020,"When beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high and corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S0660,"When corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S0615,"When corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
