setup_id,description,explained_description
S0278,"When corr_delta(20d-60d)(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST) drops sharply and beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S0335,"When beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and zscore(IVOL_SIGMA, 30d)__AAPL US Equity IN_HIGH_VOL is very high and corr_delta(20d-60d)(INJCJC Index:PX_LAST, JOBS US Equity:PX_LAST) is very low, it may indicate a bullish outlook.",DEPRECATED
S0134,"When zscore(PX_LAST, 30d)__LLY US Equity is very high and corr_delta(20d-60d)(INJCJC Index:PX_LAST, JOBS US Equity:PX_LAST) is very low and corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S0233,"When corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and corr_delta(20d-60d)(INJCJC Index:PX_LAST, JOBS US Equity:PX_LAST) is very low, it may indicate a bullish outlook.",DEPRECATED
S0440,"When corr(SPY US Equity:PX_LAST, USGG2YR Index:PX_LAST, 20d) surges unexpectedly and beta(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST, 60d) is very high and corr(DXY Curncy:PX_LAST, INJCJC Index:PX_LAST, 20d) is very high, it may indicate a bullish outlook.",DEPRECATED
S0455,"When corr(DXY Curncy:PX_LAST, INJCJC Index:PX_LAST, 20d) is very high and beta(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S0456,"When beta(DXY Curncy:PX_LAST, SPX Index:PX_LAST, 60d) drops sharply and corr_delta(20d-60d)(AAPL US Equity:PX_LAST, USSW10 Curncy:PX_LAST) is very low, it may indicate a bearish outlook.",DEPRECATED
S0457,"When corr_delta(20d-60d)(INJCJC Index:PX_LAST, JOBS US Equity:PX_LAST) is very low and zscore(PX_LAST, 30d)__LLY US Equity is very high and corr_delta(20d-60d)(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S0458,"When corr(DXY Curncy:PX_LAST, INJCJC Index:PX_LAST, 20d) is very high and corr_delta(20d-60d)(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST) drops sharply and beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S0459,"When beta(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST, 60d) is very high and corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and zscore(PX_LAST, 30d)__LLY US Equity is very high, it may indicate a bullish outlook.",DEPRECATED
